time_s,desired_deg,actual_deg,error_deg
4.035451903997455,5.181387472861774,5.758241758241758,-0.5768542853799845
4.086063574002765,5.102126056074537,5.670329670329671,-0.5682036142551334
4.136378850002075,5.021695299824308,5.4945054945054945,-0.4728101946811867
4.186699005003902,4.939708340686725,5.4945054945054945,-0.5547971538187699
4.237208933998772,4.855937449274581,5.318681318681318,-0.4627438694067374
4.287604037002893,4.770968434341042,5.230769230769231,-0.4598007964281887
4.338125192000007,4.684480338369515,5.054945054945055,-0.3704647165755395
4.388553021999542,4.596934222440662,5.054945054945055,-0.45801083250439234
4.4397746169997845,4.506855040508249,5.054945054945055,-0.5480900144368057
4.490262393999728,4.417017594715325,5.054945054945055,-0.6379274602297293
4.540896398997575,4.325965536682731,5.054945054945055,-0.7289795182623235
4.5912715360027505,4.234521707467139,5.054945054945055,-0.8204233474779157
4.6416759790008655,4.142260710237688,4.7032967032967035,-0.5610359930590159
4.692014020001807,4.049450861289493,4.527472527472527,-0.4780216661830341
4.742942048003897,3.9549663425922006,4.527472527472527,-0.5725061848803268
4.7934514279986615,3.860770388983353,4.527472527472527,-0.6667021384891743
4.8440894939994905,3.7659420371614982,4.351648351648351,-0.5857063144868531
4.8946294780034805,3.671001159146721,4.175824175824176,-0.504823016677455
4.94522856399999,3.575748819823104,4.0,-0.424251180176896
4.995756948002963,3.4805254276428435,4.0,-0.5194745723571565
5.046226047998061,3.3854056752875645,4.0,-0.6145943247124355
5.096758263003721,3.290254773017794,4.0,-0.7097452269822062
5.147284666003543,3.195298509865385,4.0,-0.8047014901346148
5.197629073001735,3.100962039381364,3.6483516483516483,-0.5473896089702843
5.247961781999038,3.007019110847401,3.5604395604395602,-0.5534204495921591
5.298643371002981,2.912895623316992,3.4725274725274726,-0.5596318492104806
5.349527954000223,2.8189661339348584,3.2967032967032965,-0.47773716276843814
5.400175044000207,2.726138231370083,3.2967032967032965,-0.5705650653332137
5.4507262780025485,2.634239597834063,3.032967032967033,-0.3987274351329697
5.501208285000757,2.5433106650974597,2.9450549450549453,-0.4017442799574855
5.551850324998668,2.453032813744951,2.9450549450549453,-0.4920221313099944
5.602592731003824,2.3636112942442224,2.9450549450549453,-0.5814436508107228
5.652978988997347,2.2759324580741254,2.9450549450549453,-0.6691224869808199
5.703755034999631,2.1887887259332874,2.9450549450549453,-0.7562662191216578
5.754544782001176,2.1029285401260447,2.681318681318681,-0.5783901411926364
5.80545135599823,2.0182704003075527,2.5054945054945055,-0.4872241051869528
5.856140832001984,1.935451359972015,2.5054945054945055,-0.5700431455224906
5.906765696003276,1.854293899606855,2.5054945054945055,-0.6512006058876505
5.9571238290009205,1.7751881461906933,2.32967032967033,-0.5544821834796365
6.007519282997237,1.697724824026818,2.1538461538461537,-0.45612132981933584
6.0580781449971255,1.6217984013450613,1.978021978021978,-0.35622357667691684
6.10830511200038,1.5482193882087716,1.978021978021978,-0.4298025898132065
6.158875551001984,1.4760734181923496,1.978021978021978,-0.5019485598296285
6.209395404999668,1.4060120363840687,1.978021978021978,-0.5720099416379094
6.259935863003193,1.33800538977555,1.978021978021978,-0.6400165882464282
6.310332697998092,1.2723350689152446,1.978021978021978,-0.7056869091067335
6.360953178002092,1.2085940497435304,1.978021978021978,-0.7694279282784477
6.411452810003539,1.1472869779908432,1.7142857142857142,-0.566998736294871
6.461942715002806,1.088331852558925,1.5384615384615385,-0.4501296859026136
6.512614172002941,1.0315770048652544,1.3626373626373627,-0.3310603577721083
6.56299210999714,0.9776034048691695,1.3626373626373627,-0.38503395776819316
6.614107663997856,0.925394515581365,1.3626373626373627,-0.4372428470559977
6.664670192003541,0.8763349378542293,1.3626373626373627,-0.48630242478313335
6.714996993003297,0.830105811436594,1.3626373626373627,-0.5325315512007687
6.76581373999943,0.7861074304700448,1.3626373626373627,-0.5765299321673178
6.8164032280037645,0.7450258953804791,1.1868131868131868,-0.4417872914327077
6.866931568001746,0.7067445589772863,1.098901098901099,-0.3921565399238127
6.9174902720042155,0.6712302163461121,1.010989010989011,-0.3397587946428988
6.9678369340035715,0.638673680189195,1.010989010989011,-0.37231533079981594
7.0183655220025685,0.608850509618132,1.010989010989011,-0.4021385013708789
7.068856361998769,0.5819325464689928,1.010989010989011,-0.4290564645200181
